iter	Passed	Remaining
0	10	10849
1	20	10278
2	24	8207
3	34	8481
4	43	8661
5	53	8806
6	62	8916
7	72	8947
8	81	9012
9	92	9188
10	102	9174
11	113	9364
12	123	9400
13	134	9458
14	143	9411
15	152	9400
16	163	9481
17	174	9508
18	185	9573
19	196	9612
20	205	9571
21	214	9547
22	224	9553
23	234	9545
24	237	9263
25	246	9248
26	257	9261
27	269	9339
28	271	9099
29	281	9098
30	291	9108
31	293	8889
32	303	8891
33	314	8929
34	324	8956
35	327	8775
36	337	8776
37	346	8780
38	357	8814
39	366	8806
40	376	8803
41	385	8798
42	394	8779
43	403	8759
44	405	8603
45	414	8605
46	424	8614
47	433	8606
48	443	8616
49	452	8597
50	462	8611
51	471	8598
52	481	8602
53	489	8583
54	499	8589
55	509	8587
56	519	8598
57	528	8582
58	537	8570
59	546	8567
60	588	9060
61	695	10516
62	732	10900
63	757	11083
64	770	11087
65	782	11067
66	793	11051
67	805	11037
68	815	11004
69	826	10985
70	837	10955
71	848	10942
72	860	10922
73	869	10884
74	880	10854
75	891	10838
76	902	10820
77	913	10796
78	924	10777
79	926	10658
80	937	10636
81	946	10600
82	955	10560
83	966	10543
84	975	10506
85	985	10476
86	996	10459
87	1005	10422
88	1014	10388
89	1025	10366
90	1034	10330
91	1044	10312
92	1054	10289
93	1063	10251
94	1072	10212
95	1081	10186
96	1091	10157
97	1099	10122
98	1108	10086
99	1117	10059
100	1126	10024
101	1136	10007
102	1146	9984
103	1155	9951
104	1165	9931
105	1175	9914
106	1184	9884
107	1193	9856
108	1202	9831
109	1211	9799
110	1220	9771
111	1228	9743
112	1239	9728
113	1249	9709
114	1259	9689
115	1268	9665
116	1271	9592
117	1279	9562
118	1288	9537
119	1298	9521
120	1301	9451
121	1309	9427
122	1319	9407
123	1328	9382
124	1337	9360
125	1346	9338
126	1356	9324
127	1365	9299
128	1373	9274
129	1382	9252
130	1391	9228
131	1400	9208
132	1408	9184
133	1417	9162
134	1426	9142
135	1435	9120
136	1444	9101
137	1453	9080
138	1463	9066
139	1473	9052
